subject,pixel,object
sub-101,1036.0,14
sub-102,270.0,1
sub-103,1245.0,6
sub-104,0.0,0
sub-105,0.0,0
sub-106,163.0,3
sub-107,180.0,2
sub-108,2915.0,10
sub-109,0.0,0
sub-110,8602.0,79
sub-111,1136.0,3
sub-201,0.0,0
sub-202,0.0,0
sub-203,0.0,0
sub-204,0.0,0
sub-205,0.0,0
sub-206,0.0,0
sub-207,372.0,9
sub-208,92.0,1
sub-209,0.0,0
sub-210,0.0,0
sub-211,0.0,0
sub-212,46.0,1
sub-213,19.0,1
sub-214,0.0,0
sub-215,32.0,1
sub-216,1865.0,21
sub-217,110.0,1
sub-218,798.0,26
sub-219,0.0,0
sub-220,0.0,0
sub-221,468.0,11
sub-222,468.0,11
sub-223,25.0,1
sub-224,0.0,0
sub-225,0.0,0
sub-226,0.0,0
sub-227,0.0,0
sub-228,791.0,8
sub-229,16.0,1
sub-230,0.0,0
sub-231,0.0,0
sub-232,34.0,1
sub-233,0.0,0
sub-234,136.0,2
sub-301,29.0,1
sub-302,381.0,1
sub-303,47.0,1
sub-304,96.0,1
sub-305,240.0,2
sub-306,139.0,1
sub-307,56.0,1
sub-308,185.0,1
sub-309,93.0,1
sub-310,49.0,1
sub-311,361.0,1
sub-312,99.0,2
sub-313,54.0,1
sub-314,43.0,1
sub-315,92.0,1
sub-316,126.0,2
sub-317,51.0,1
sub-318,51.0,1
sub-319,138.0,1
sub-320,120.0,2
sub-321,123.0,2
sub-322,438.0,1
sub-323,43.0,1
sub-324,131.0,1
sub-325,613.0,3
sub-326,87.0,1
sub-327,49.0,1
