subject,r1_pixel,r2_pixel,r1_object,r2_object,concording_pixel,union_pixel,concording_pixel_perc
sub-101,0.0,0.0,0,0,0,0,
sub-102,291.0,0.0,4,0,0,291,0.0
sub-103,143.0,163.0,5,1,86,220,0.39090909090909093
sub-104,14.0,31.0,3,2,0,45,0.0
sub-105,118.0,0.0,8,0,0,118,0.0
sub-106,75.0,0.0,9,0,0,75,0.0
sub-201,89.0,412.0,2,3,88,413,0.21307506053268765
sub-202,0.0,0.0,0,0,0,0,
sub-203,189.0,634.0,1,1,189,634,0.2981072555205047
sub-204,0.0,0.0,0,0,0,0,
sub-205,177.0,988.0,1,4,164,1001,0.16383616383616384
sub-206,0.0,797.0,0,1,0,797,0.0
sub-207,0.0,80.0,0,1,0,80,0.0
sub-208,0.0,82.0,0,2,0,82,0.0
sub-209,0.0,0.0,0,0,0,0,
sub-210,170.0,966.0,2,4,168,968,0.17355371900826447
sub-211,0.0,0.0,0,0,0,0,
sub-212,0.0,0.0,0,0,0,0,
sub-213,0.0,0.0,0,0,0,0,
sub-214,136.0,1580.0,2,2,133,1583,0.08401768793430196
sub-215,0.0,0.0,0,0,0,0,
sub-216,39.0,106.0,1,1,0,145,0.0
sub-217,0.0,0.0,0,0,0,0,
sub-218,0.0,0.0,0,0,0,0,
sub-219,0.0,3606.0,0,2,0,3606,0.0
sub-220,247.0,1055.0,1,2,201,1101,0.18256130790190736
sub-221,0.0,0.0,0,0,0,0,
sub-222,126.0,322.0,2,2,87,361,0.2409972299168975
sub-223,0.0,0.0,0,0,0,0,
sub-224,74.0,444.0,1,4,73,445,0.16404494382022472
sub-225,0.0,0.0,0,0,0,0,
sub-226,0.0,0.0,0,0,0,0,
sub-227,128.0,149.0,1,1,112,165,0.6787878787878788
sub-228,688.0,1300.0,3,4,283,1705,0.16598240469208211
sub-229,0.0,0.0,0,0,0,0,
sub-230,187.0,594.0,2,5,162,619,0.2617124394184168
sub-231,0.0,0.0,0,0,0,0,
sub-232,0.0,0.0,0,0,0,0,
sub-233,449.0,3498.0,3,11,286,3661,0.07812073204042612
sub-234,0.0,0.0,0,0,0,0,
