subject,r1_pixel,r2_pixel,r1_object,r2_object,concording_pixel,union_pixel,concording_pixel_perc
sub-101,0.0,0.0,0,0,0,0,
sub-102,1557.0,0.0,3,0,0,1557,0.0
sub-103,988.0,1060.0,5,1,594,1454,0.40852819807427787
sub-104,78.0,183.0,3,2,0,261,0.0
sub-105,706.0,0.0,8,0,0,706,0.0
sub-106,448.0,0.0,9,0,0,448,0.0
sub-201,89.0,412.0,2,3,88,413,0.21307506053268765
sub-202,0.0,0.0,0,0,0,0,
sub-203,184.0,628.0,1,1,184,628,0.2929936305732484
sub-204,0.0,0.0,0,0,0,0,
sub-205,181.0,1002.0,1,5,168,1015,0.16551724137931034
sub-206,0.0,1015.0,0,1,0,1015,0.0
sub-207,0.0,84.0,0,1,0,84,0.0
sub-208,0.0,94.0,0,2,0,94,0.0
sub-209,0.0,0.0,0,0,0,0,
sub-210,182.0,1068.0,2,4,180,1070,0.16822429906542055
sub-211,0.0,0.0,0,0,0,0,
sub-212,0.0,0.0,0,0,0,0,
sub-213,0.0,0.0,0,0,0,0,
sub-214,153.0,1730.0,2,2,149,1734,0.08592848904267589
sub-215,0.0,0.0,0,0,0,0,
sub-216,45.0,128.0,1,1,0,173,0.0
sub-217,0.0,0.0,0,0,0,0,
sub-218,0.0,0.0,0,0,0,0,
sub-219,0.0,3676.0,0,2,0,3676,0.0
sub-220,272.0,1240.0,1,2,218,1294,0.16846986089644514
sub-221,0.0,0.0,0,0,0,0,
sub-222,128.0,321.0,2,3,88,361,0.24376731301939059
sub-223,0.0,0.0,0,0,0,0,
sub-224,95.0,546.0,1,6,94,547,0.17184643510054845
sub-225,0.0,0.0,0,0,0,0,
sub-226,0.0,0.0,0,0,0,0,
sub-227,160.0,184.0,1,1,137,207,0.6618357487922706
sub-228,802.0,1505.0,3,4,315,1992,0.15813253012048192
sub-229,0.0,0.0,0,0,0,0,
sub-230,192.0,615.0,2,6,167,640,0.2609375
sub-231,0.0,0.0,0,0,0,0,
sub-232,0.0,0.0,0,0,0,0,
sub-233,517.0,4294.0,3,12,315,4496,0.07006227758007118
sub-234,0.0,0.0,0,0,0,0,
